"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
01-12 14:34:50,0.521,0.192,99.258,0.026,0.0,0.003,16726446080.0,458809344.0,21869928448.0,11505848320.0,10536.733,2273.700,0.0,4.683,java / 0%,java / 2682888192%
01-12 14:35:50,0.531,0.197,99.233,0.035,0.0,0.004,16727515136.0,458809344.0,21875515392.0,11499192320.0,11969.600,3146.367,0.0,4.183,java / 0%,java / 2682888192%
01-12 14:36:50,0.535,0.184,99.253,0.026,0.0,0.002,16727674880.0,458809344.0,21881675776.0,11492872192.0,11637.283,2810.850,0.0,3.850,java / 0%,java / 2682888192%
01-12 14:37:50,0.537,0.251,99.184,0.025,0.0,0.003,16730910720.0,458809344.0,21767032832.0,11604279296.0,11627.250,2745.400,0.0,3.733,java / 0%,java / 2682888192%
01-12 14:38:50,0.747,0.202,98.944,0.104,0.0,0.003,16727465984.0,458809344.0,21760491520.0,11614265344.0,10589.650,2032.233,0.0,10.900,java / 0%,java / 2682888192%
01-12 14:39:50,0.532,0.189,99.233,0.042,0.0,0.003,16726900736.0,458809344.0,21766377472.0,11608944640.0,11432.500,2296.133,0.0,6.300,java / 0%,java / 2682888192%
01-12 14:40:50,0.547,0.191,99.224,0.034,0.0,0.003,16726130688.0,458809344.0,21772652544.0,11603439616.0,11686.0,2732.333,0.0,4.767,java / 0%,java / 2682888192%
01-12 14:41:50,0.515,0.191,99.271,0.021,0.0,0.003,16726851584.0,458813440.0,21778276352.0,11597090816.0,11681.733,2742.317,0.0,3.533,java / 0%,java / 2682888192%
01-12 14:42:50,1.016,0.253,98.684,0.043,0.0,0.004,16726790144.0,458813440.0,21676249088.0,11699179520.0,10815.800,2559.583,0.0,6.300,java / 0%,java / 2682888192%
01-12 14:43:50,0.762,0.217,98.926,0.091,0.0,0.003,16729419776.0,458813440.0,21697372160.0,11675426816.0,507317.933,15450.217,0.0,9.400,java / 0%,java / 2682888192%
01-12 14:44:50,9.433,4.621,85.891,0.049,0.0,0.006,21512597504.0,458792960.0,21410938880.0,7178702848.0,25735.700,9681.500,0.050,9.533,java / 12%,java / 4571435008%
01-12 14:45:50,2.754,0.865,96.335,0.041,0.0,0.005,16357466112.0,458792960.0,21412388864.0,12332384256.0,17072.317,5650.950,0.0,5.167,java / 0%,java / 2682892288%
01-12 14:46:50,0.523,0.184,99.261,0.029,0.0,0.003,16358858752.0,458792960.0,21418024960.0,12325355520.0,43448.667,3906.383,0.0,3.617,java / 0%,java / 2682892288%
01-12 14:47:50,0.551,0.256,99.156,0.032,0.0,0.004,16351272960.0,458792960.0,21423804416.0,12327161856.0,475911.583,13644.133,0.0,6.333,java / 0%,java / 2682892288%
01-12 14:48:50,0.509,0.173,99.292,0.024,0.0,0.003,16350744576.0,458792960.0,21429833728.0,12321660928.0,11724.483,2347.583,0.0,3.483,java / 0%,java / 2682892288%
01-12 14:49:50,0.541,0.195,99.194,0.067,0.0,0.003,16351948800.0,458792960.0,21423239168.0,12327051264.0,11165.100,2370.250,0.0,6.217,java / 0%,java / 2682892288%
01-12 14:50:50,1.161,0.300,98.499,0.036,0.0,0.004,16354836480.0,458792960.0,21416759296.0,12330643456.0,12878.783,4078.367,0.0,6.600,java / 0%,java / 2682990592%
01-12 14:51:50,0.608,0.191,99.160,0.038,0.0,0.003,16359559168.0,458797056.0,21422776320.0,12319899648.0,12547.783,3110.550,0.0,4.500,java / 0%,java / 2682949632%
01-12 14:52:50,1.013,0.248,98.695,0.038,0.0,0.005,16357097472.0,458797056.0,21430173696.0,12314963968.0,16712.300,994214.333,0.017,4.750,java / 0%,java / 2682949632%
01-12 14:53:50,0.510,0.185,99.277,0.024,0.0,0.003,16354050048.0,458797056.0,21436076032.0,12312109056.0,11709.017,2336.033,0.0,4.133,java / 0%,java / 2682949632%
