"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
01-12 15:20:50,11.561,3.397,85.008,0.030,0.0,0.004,21177389056.0,458805248.0,21472440320.0,7452397568.0,11904.300,3022.100,0.050,4.500,java / 13%,java / 4756344832%
01-12 15:21:50,12.417,3.676,83.867,0.034,0.0,0.006,21167403008.0,458805248.0,21478326272.0,7456497664.0,11779.417,2978.900,0.0,4.567,java / 13%,java / 4749402112%
01-12 15:22:50,10.933,3.061,85.973,0.028,0.0,0.006,21237993472.0,458805248.0,21485928448.0,7378305024.0,11569.917,2833.683,0.0,3.950,java / 12%,java / 4817727488%
01-12 15:23:50,10.610,3.038,86.327,0.020,0.0,0.005,21254402048.0,458805248.0,21491580928.0,7356243968.0,11666.983,2360.200,0.0,4.567,java / 13%,java / 4835020800%
01-12 15:24:50,11.114,3.186,85.663,0.032,0.0,0.006,21256564736.0,458805248.0,21496135680.0,7349526528.0,11641.217,2792.367,0.0,5.033,java / 13%,java / 4840394752%
01-12 15:25:50,10.704,3.190,86.064,0.037,0.0,0.006,21260496896.0,458805248.0,21489557504.0,7352172544.0,11486.850,2608.983,0.0,4.517,java / 13%,java / 4840706048%
01-12 15:26:50,11.083,3.185,85.609,0.118,0.0,0.005,21261213696.0,458805248.0,21484826624.0,7356186624.0,11404.683,2372.717,0.0,14.883,java / 13%,java / 4840988672%
01-12 15:27:50,10.676,3.200,86.097,0.023,0.0,0.005,21258002432.0,458805248.0,21490860032.0,7353364480.0,11554.300,2379.650,0.0,4.150,java / 13%,java / 4839657472%
01-12 15:28:50,10.766,3.174,86.024,0.032,0.0,0.004,21255831552.0,458805248.0,21496496128.0,7349899264.0,11544.583,2387.600,0.0,4.100,java / 13%,java / 4839813120%
01-12 15:29:50,10.657,3.128,86.170,0.040,0.0,0.006,21257515008.0,458809344.0,21502271488.0,7342436352.0,11568.183,2387.867,0.0,5.217,java / 13%,java / 4840001536%
01-12 15:30:50,5.258,1.486,93.222,0.030,0.0,0.004,16357093376.0,458809344.0,21508636672.0,12236492800.0,11127.900,2949.950,0.017,4.067,java / 0%,java / 2682892288%
01-12 15:31:50,11.540,3.036,85.297,0.121,0.0,0.006,21318553600.0,458809344.0,21503737856.0,7279931392.0,12456.0,3146.233,0.0,13.367,java / 12%,java / 4893306880%
01-12 15:32:50,11.161,3.060,85.715,0.060,0.0,0.005,21389914112.0,458809344.0,21499191296.0,7213117440.0,11828.850,3002.517,0.0,7.167,java / 12%,java / 4975767552%
01-12 15:33:50,10.435,3.001,86.539,0.020,0.0,0.005,21411999744.0,458809344.0,21505220608.0,7185002496.0,11934.833,2810.033,0.0,4.133,java / 12%,java / 4999208960%
01-12 15:34:50,10.440,3.040,86.480,0.036,0.0,0.004,21410455552.0,458809344.0,21510991872.0,7180775424.0,11426.500,2410.867,0.0,5.450,java / 12%,java / 4998930432%
01-12 15:35:50,10.425,2.979,86.556,0.033,0.0,0.007,21412339712.0,458813440.0,21516709888.0,7173169152.0,11823.700,2802.517,0.0,4.033,java / 12%,java / 4999290880%
01-12 15:36:50,10.834,3.047,86.091,0.023,0.0,0.005,21432963072.0,458813440.0,21522870272.0,7146385408.0,10727.533,2186.617,0.0,3.700,java / 13%,java / 5020397568%
01-12 15:37:50,10.667,3.047,86.253,0.028,0.0,0.006,21442633728.0,458813440.0,21516251136.0,7143333888.0,11478.067,2400.650,0.0,3.700,java / 13%,java / 5020585984%
01-12 15:38:50,10.608,3.007,86.354,0.026,0.0,0.005,21434707968.0,458813440.0,21509550080.0,7157960704.0,11772.733,2385.033,0.0,4.267,java / 13%,java / 5020794880%
01-12 15:39:50,10.621,2.987,86.341,0.044,0.0,0.006,21434843136.0,458813440.0,21516779520.0,7150596096.0,11950.950,2855.800,0.0,5.300,java / 13%,java / 5020983296%
01-12 15:40:50,10.958,2.999,85.992,0.044,0.0,0.006,21500637184.0,458813440.0,21522382848.0,7079198720.0,12548.283,3524.517,0.0,5.050,java / 13%,java / 5079326720%
01-12 15:41:50,10.474,3.048,86.451,0.025,0.0,0.004,21476380672.0,458813440.0,21528285184.0,7097552896.0,11669.333,2335.417,0.0,3.500,java / 12%,java / 5059530752%
01-12 15:42:50,10.770,3.045,86.138,0.041,0.0,0.006,21475098624.0,458813440.0,21536538624.0,7090581504.0,12215.933,2405.267,0.0,4.0,java / 12%,java / 5059649536%
01-12 15:43:50,10.607,3.067,86.276,0.044,0.0,0.006,21464719360.0,458813440.0,21529628672.0,7107870720.0,11528.100,2400.267,0.0,5.450,java / 13%,java / 5042446336%
01-12 15:44:50,10.512,3.048,86.394,0.040,0.0,0.006,21455802368.0,458813440.0,21522898944.0,7123517440.0,12042.467,2854.083,0.0,5.100,java / 12%,java / 5042012160%
01-12 15:45:50,10.781,3.127,86.048,0.039,0.0,0.005,21456687104.0,458813440.0,21528862720.0,7116668928.0,11734.700,2793.867,0.0,4.367,java / 13%,java / 5042069504%
