"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
25-11 02:18:34,1.583,0.708,97.584,0.105,0.0,0.020,16354766848.0,439689216.0,21746397184.0,12020178944.0,18838.150,13864.650,0.0,11.150,java / 0%,java / 2681974784%
25-11 02:19:34,1.608,0.652,97.600,0.121,0.0,0.018,16361447424.0,439705600.0,21739773952.0,12020105216.0,18917.683,14117.767,0.0,13.617,java / 0%,java / 2681987072%
25-11 02:20:34,1.594,0.651,97.641,0.096,0.0,0.019,16348725248.0,439717888.0,21745909760.0,12026679296.0,18796.700,13883.100,0.0,12.433,java / 0%,java / 2682023936%
25-11 02:21:34,1.588,0.640,97.649,0.102,0.0,0.020,16349204480.0,439717888.0,21738217472.0,12033892352.0,18428.833,13338.533,0.0,11.833,java / 0%,java / 2681966592%
25-11 02:22:34,1.568,0.648,97.655,0.109,0.0,0.020,16345120768.0,439726080.0,21744746496.0,12031438848.0,18469.267,13401.017,0.0,11.450,java / 0%,java / 2682003456%
25-11 02:23:34,2.019,0.714,97.147,0.102,0.0,0.018,16355160064.0,439730176.0,21759537152.0,12006604800.0,18596.183,13473.967,0.0,12.717,java / 0%,java / 2681962496%
25-11 02:24:34,1.596,0.651,97.631,0.102,0.0,0.020,16354430976.0,439742464.0,21766520832.0,12000337920.0,18945.867,14141.983,0.0,13.767,java / 0%,java / 2681966592%
25-11 02:25:34,2.044,0.665,97.104,0.169,0.0,0.019,16363409408.0,439750656.0,21760458752.0,11997413376.0,18756.500,13884.867,0.0,22.283,java / 0%,java / 2681974784%
25-11 02:26:34,1.548,0.647,97.698,0.088,0.0,0.019,16359071744.0,439754752.0,21757296640.0,12004909056.0,18871.467,13890.333,0.0,12.717,java / 0%,java / 2681974784%
25-11 02:27:34,1.980,0.682,97.122,0.195,0.0,0.021,16366432256.0,439762944.0,21752836096.0,12002000896.0,18343.600,13406.033,0.0,21.517,java / 0%,java / 2681958400%
25-11 02:28:34,1.583,0.711,97.594,0.095,0.0,0.017,16368611328.0,439771136.0,21758828544.0,11993821184.0,18751.100,13473.950,0.0,12.267,java / 0%,java / 2682023936%
25-11 02:29:34,1.594,0.656,97.641,0.089,0.0,0.020,16361750528.0,439787520.0,21763624960.0,11995869184.0,18892.767,14102.583,0.0,12.100,java / 0%,java / 2681987072%
25-11 02:30:34,1.584,0.673,97.635,0.090,0.0,0.019,16373395456.0,439799808.0,21769752576.0,11978084352.0,18611.900,13425.317,0.0,12.117,java / 0%,java / 2681970688%
25-11 02:31:34,1.575,0.655,97.657,0.095,0.0,0.018,16371191808.0,439808000.0,21763428352.0,11986604032.0,17492.300,13326.367,0.0,11.717,java / 0%,java / 2681978880%
25-11 02:32:34,1.598,0.652,97.647,0.085,0.0,0.018,16381124608.0,439816192.0,21770588160.0,11969503232.0,18452.333,13327.250,0.0,11.617,java / 0%,java / 2681966592%
