"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
01-12 22:06:40,0.136,0.058,99.793,0.013,0.0,0.0,1890955264.0,218800128.0,3653033984.0,10910388224.0,2819.783,7120.800,0.0,1.817,java / 0%,java / 716177408%
01-12 22:07:40,0.121,0.051,99.814,0.013,0.0,0.001,1891405824.0,218800128.0,3653046272.0,10909925376.0,2814.350,7117.150,0.0,1.583,java / 0%,java / 716177408%
01-12 22:08:40,0.135,0.058,99.793,0.014,0.0,0.0,1890615296.0,218800128.0,3653062656.0,10910699520.0,2835.433,7159.417,0.0,1.817,java / 0%,java / 716177408%
01-12 22:09:40,0.129,0.054,99.803,0.014,0.0,0.0,1889476608.0,218800128.0,3653074944.0,10911825920.0,2816.200,7111.033,0.0,1.783,java / 0%,java / 716173312%
01-12 22:10:40,0.136,0.054,99.794,0.015,0.0,0.001,1889828864.0,218800128.0,3653111808.0,10911436800.0,3245.017,7346.650,0.0,2.267,java / 0%,java / 716177408%
01-12 22:11:40,0.122,0.054,99.813,0.012,0.0,0.0,1890000896.0,218800128.0,3653124096.0,10911252480.0,2763.417,6264.233,0.0,1.650,java / 0%,java / 716177408%
01-12 22:12:40,0.138,0.056,99.791,0.016,0.0,0.0,1890217984.0,218800128.0,3653140480.0,10911019008.0,2846.467,7166.917,0.0,1.900,java / 0%,java / 716177408%
01-12 22:13:40,0.125,0.058,99.803,0.014,0.0,0.0,1889968128.0,218800128.0,3653152768.0,10911256576.0,2817.500,7115.333,0.0,1.683,java / 0%,java / 716177408%
01-12 22:14:40,0.133,0.056,99.796,0.015,0.0,0.001,1889619968.0,218800128.0,3653165056.0,10911592448.0,2852.783,7150.917,0.0,1.650,java / 0%,java / 716173312%
01-12 22:15:40,0.121,0.054,99.809,0.015,0.0,0.001,1890062336.0,218800128.0,3653193728.0,10911121408.0,3232.050,7316.717,0.0,2.117,java / 0%,java / 716177408%
01-12 22:16:40,0.131,0.056,99.800,0.013,0.0,0.0,1890033664.0,218800128.0,3653210112.0,10911133696.0,2839.850,7178.450,0.0,1.683,java / 0%,java / 716177408%
01-12 22:17:40,0.122,0.055,99.810,0.013,0.0,0.0,1889918976.0,218800128.0,3653222400.0,10911236096.0,2830.400,7179.417,0.0,1.717,java / 0%,java / 716177408%
01-12 22:18:40,0.140,0.058,99.789,0.013,0.0,0.001,1889554432.0,218800128.0,3653234688.0,10911588352.0,2820.233,7123.217,0.0,1.783,java / 0%,java / 716177408%
01-12 22:19:40,0.128,0.050,99.812,0.010,0.0,0.0,1889742848.0,218800128.0,3653246976.0,10911387648.0,2848.750,7160.733,0.0,1.750,java / 0%,java / 716173312%
