"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
05-12 06:02:47,0.153,0.072,99.761,0.014,0.0,0.0,2240831488.0,190771200.0,225046528.0,14016528384.0,9328.900,10397.050,0.0,1.567,agent.py / 0%,java / 612171776%
05-12 06:03:47,0.163,0.072,99.751,0.013,0.0,0.0,2241298432.0,190775296.0,225038336.0,14016065536.0,9358.567,10385.200,0.0,1.733,agent.py / 0%,java / 612364288%
05-12 06:04:47,0.160,0.071,99.758,0.010,0.0,0.001,2241167360.0,190779392.0,225050624.0,14016180224.0,8895.500,10055.750,0.0,1.400,agent.py / 0%,java / 612159488%
05-12 06:05:47,0.161,0.069,99.757,0.013,0.0,0.0,2241687552.0,190783488.0,225050624.0,14015655936.0,9457.350,10408.017,0.0,1.817,agent.py / 0%,java / 612057088%
05-12 06:06:47,0.145,0.067,99.773,0.015,0.0,0.0,2242572288.0,190783488.0,225042432.0,14014779392.0,8879.617,10038.417,0.0,1.617,agent.py / 0%,java / 611995648%
05-12 06:07:47,0.175,0.072,99.739,0.014,0.0,0.001,2257616896.0,190783488.0,225042432.0,13999734784.0,9313.883,10353.583,0.017,1.483,agent.py / 0%,java / 612057088%
05-12 06:08:47,0.160,0.069,99.758,0.012,0.0,0.0,2255745024.0,190787584.0,225046528.0,14001598464.0,9317.750,10361.667,0.0,1.600,agent.py / 0%,java / 612261888%
05-12 06:09:47,0.156,0.070,99.758,0.015,0.0,0.0,2251247616.0,190787584.0,225046528.0,14006095872.0,9329.800,10381.683,0.200,1.700,agent.py / 0%,java / 612286464%
05-12 06:10:47,0.147,0.068,99.771,0.013,0.0,0.0,2248372224.0,190787584.0,225054720.0,14008963072.0,8877.633,10009.317,0.0,1.683,agent.py / 0%,java / 612057088%
05-12 06:11:47,0.156,0.071,99.759,0.014,0.0,0.0,2241331200.0,190791680.0,225054720.0,14016000000.0,8878.183,9997.667,0.0,1.517,agent.py / 0%,java / 612384768%
05-12 06:12:47,0.160,0.071,99.755,0.014,0.0,0.0,2237890560.0,190791680.0,225058816.0,14019436544.0,9342.767,10385.383,0.0,1.567,agent.py / 0%,java / 611794944%
05-12 06:13:47,0.160,0.069,99.759,0.013,0.0,0.0,2240020480.0,190795776.0,225058816.0,14017302528.0,8908.067,10051.600,0.0,1.700,agent.py / 0%,java / 611811328%
05-12 06:14:47,0.150,0.070,99.766,0.013,0.0,0.001,2239864832.0,190795776.0,225062912.0,14017454080.0,9337.100,10403.083,0.0,1.483,agent.py / 0%,java / 611975168%
05-12 06:15:47,0.160,0.074,99.753,0.013,0.0,0.0,2241122304.0,190795776.0,225062912.0,14016196608.0,8908.600,10052.767,0.0,1.800,agent.py / 0%,java / 612028416%
05-12 06:16:47,0.154,0.068,99.763,0.015,0.0,0.0,2239766528.0,190795776.0,225062912.0,14017552384.0,8880.700,10013.067,0.0,1.400,agent.py / 0%,java / 611958784%
05-12 06:17:47,0.153,0.072,99.762,0.014,0.0,0.0,2240802816.0,190795776.0,225062912.0,14016516096.0,8854.200,9997.667,0.0,1.683,agent.py / 0%,java / 611958784%
05-12 06:18:47,0.154,0.067,99.766,0.013,0.0,0.0,2239488000.0,190799872.0,225062912.0,14017826816.0,8889.333,10061.417,0.0,1.417,agent.py / 0%,java / 611962880%
05-12 06:19:47,0.165,0.070,99.753,0.012,0.0,0.001,2240770048.0,190803968.0,225067008.0,14016536576.0,8887.900,10002.733,0.0,1.783,agent.py / 0%,java / 611954688%
05-12 06:20:47,0.158,0.072,99.755,0.015,0.0,0.0,2239950848.0,190803968.0,225075200.0,14017347584.0,8867.417,10023.133,0.0,1.750,agent.py / 0%,java / 612356096%
05-12 06:21:47,0.165,0.079,99.744,0.013,0.0,0.0,2241495040.0,190803968.0,225099776.0,14015778816.0,9456.200,10529.367,0.167,1.617,agent.py / 0%,java / 611782656%
05-12 06:22:47,0.149,0.069,99.768,0.014,0.0,0.0,2239193088.0,190808064.0,225103872.0,14018072576.0,8875.567,10045.633,0.0,1.867,agent.py / 0%,java / 612311040%
05-12 06:23:47,0.167,0.070,99.750,0.013,0.0,0.001,2240131072.0,190808064.0,225075200.0,14017163264.0,8903.967,10020.983,0.0,1.817,agent.py / 0%,java / 611852288%
05-12 06:24:47,0.153,0.069,99.767,0.010,0.0,0.0,2238881792.0,190808064.0,225075200.0,14018412544.0,8885.300,10046.083,0.0,1.617,agent.py / 0%,java / 611938304%
05-12 06:25:47,0.171,0.073,99.745,0.010,0.0,0.001,2239893504.0,190808064.0,225075200.0,14017400832.0,8897.567,10035.750,0.0,1.583,agent.py / 0%,java / 611971072%
05-12 06:26:47,0.156,0.068,99.767,0.010,0.0,0.0,2238939136.0,190808064.0,225075200.0,14018355200.0,8858.083,10014.767,0.0,1.483,agent.py / 0%,java / 611930112%
05-12 06:27:47,0.162,0.071,99.759,0.007,0.0,0.001,2237526016.0,190812160.0,225091584.0,14019747840.0,9351.067,10393.183,0.0,1.900,agent.py / 0%,java / 611569664%
05-12 06:28:47,0.155,0.069,99.767,0.009,0.0,0.0,2236907520.0,190812160.0,225091584.0,14020366336.0,8889.833,10023.283,0.0,1.433,agent.py / 0%,java / 611823616%
05-12 06:29:47,0.167,0.072,99.749,0.012,0.0,0.0,2238664704.0,190812160.0,225091584.0,14018609152.0,8912.483,10079.017,0.0,1.717,agent.py / 0%,java / 612331520%
05-12 06:30:47,0.156,0.069,99.760,0.015,0.0,0.0,2238676992.0,190812160.0,225095680.0,14018592768.0,8875.717,10000.350,0.0,1.600,agent.py / 0%,java / 612356096%
05-12 06:31:47,0.165,0.073,99.750,0.012,0.0,0.001,2240241664.0,190812160.0,225099776.0,14017024000.0,8866.717,10009.733,0.0,1.933,agent.py / 0%,java / 612052992%
05-12 06:32:47,0.155,0.072,99.760,0.013,0.0,0.0,2238443520.0,190816256.0,225107968.0,14018809856.0,9395.600,10405.850,0.0,1.417,agent.py / 0%,java / 612057088%
05-12 06:33:47,0.161,0.068,99.758,0.013,0.0,0.0,2239377408.0,190816256.0,225107968.0,14017875968.0,8892.317,10036.200,0.0,1.717,agent.py / 0%,java / 612057088%
05-12 06:34:47,0.154,0.070,99.761,0.014,0.0,0.001,2239299584.0,190816256.0,225112064.0,14017949696.0,9365.617,10403.067,0.0,1.600,agent.py / 0%,java / 612057088%
05-12 06:35:47,0.163,0.073,99.752,0.012,0.0,0.0,2239766528.0,190820352.0,225116160.0,14017474560.0,8984.550,10046.917,0.0,1.583,agent.py / 0%,java / 612052992%
05-12 06:36:47,0.155,0.067,99.763,0.015,0.0,0.0,2238513152.0,190820352.0,225116160.0,14018727936.0,8821.250,9962.567,0.0,1.617,agent.py / 0%,java / 611995648%
05-12 06:37:47,0.173,0.071,99.745,0.010,0.0,0.001,2240106496.0,190820352.0,225116160.0,14017134592.0,9335.850,10359.150,0.0,1.583,agent.py / 0%,java / 611926016%
05-12 06:38:47,0.149,0.069,99.768,0.013,0.0,0.0,2238902272.0,190820352.0,225116160.0,14018338816.0,8894.033,10049.917,0.0,1.550,agent.py / 0%,java / 612380672%
05-12 06:39:47,0.165,0.069,99.752,0.013,0.0,0.0,2239295488.0,190820352.0,225116160.0,14017945600.0,9315.400,10347.883,0.0,1.450,agent.py / 0%,java / 611827712%
05-12 06:40:47,0.158,0.072,99.757,0.013,0.0,0.0,2238038016.0,190824448.0,225132544.0,14019182592.0,8923.183,10046.883,0.0,1.783,agent.py / 0%,java / 611962880%
05-12 06:41:47,0.172,0.069,99.744,0.015,0.0,0.0,2238885888.0,190824448.0,225132544.0,14018334720.0,8915.017,10005.667,0.0,1.700,agent.py / 0%,java / 611901440%
05-12 06:42:47,0.154,0.070,99.762,0.014,0.0,0.0,2237784064.0,190832640.0,225132544.0,14019428352.0,9357.817,10396.583,0.0,1.283,agent.py / 0%,java / 612466688%
05-12 06:43:47,0.164,0.074,99.747,0.014,0.0,0.001,2239496192.0,190832640.0,225132544.0,14017716224.0,9379.567,10407.383,0.0,1.750,agent.py / 0%,java / 612065280%
05-12 06:44:47,0.147,0.066,99.774,0.014,0.0,0.0,2239242240.0,190832640.0,225136640.0,14017966080.0,8868.483,10021.500,0.0,1.633,agent.py / 0%,java / 612290560%
05-12 06:45:47,0.168,0.074,99.745,0.013,0.0,0.0,2240634880.0,190840832.0,225136640.0,14016565248.0,9339.300,10379.233,0.0,1.817,agent.py / 0%,java / 611840000%
05-12 06:46:47,0.166,0.069,99.753,0.013,0.0,0.0,2238779392.0,190844928.0,225136640.0,14018416640.0,8894.817,10034.967,0.0,1.283,agent.py / 0%,java / 612368384%
05-12 06:47:47,0.166,0.072,99.750,0.012,0.0,0.001,2240749568.0,190844928.0,225136640.0,14016446464.0,8862.067,9989.733,0.0,1.717,agent.py / 0%,java / 611934208%
05-12 06:48:47,0.162,0.067,99.757,0.014,0.0,0.0,2239729664.0,190849024.0,225140736.0,14017458176.0,9339.467,10380.933,0.0,1.483,agent.py / 0%,java / 612003840%
05-12 06:49:47,0.158,0.072,99.757,0.013,0.0,0.0,2240815104.0,190849024.0,225140736.0,14016372736.0,8923.633,10065.217,0.0,1.533,agent.py / 0%,java / 612028416%
05-12 06:50:47,0.159,0.070,99.754,0.017,0.0,0.001,2239524864.0,190853120.0,225144832.0,14017654784.0,8849.950,9979.017,0.0,1.767,agent.py / 0%,java / 611942400%
05-12 06:51:47,0.162,0.074,99.751,0.013,0.0,0.0,2239074304.0,190857216.0,225144832.0,14018101248.0,8879.817,10018.900,0.0,1.617,agent.py / 0%,java / 611942400%
05-12 06:52:47,0.156,0.072,99.761,0.011,0.0,0.0,2238353408.0,190861312.0,225144832.0,14018818048.0,8958.133,10058.200,0.0,1.567,agent.py / 0%,java / 612024320%
05-12 06:53:47,0.166,0.070,99.752,0.011,0.0,0.001,2241368064.0,190861312.0,225157120.0,14015791104.0,8880.583,10020.283,0.0,1.433,agent.py / 0%,java / 611979264%
05-12 06:54:47,0.150,0.067,99.769,0.014,0.0,0.0,2239619072.0,190861312.0,225157120.0,14017540096.0,8877.983,10019.983,0.0,1.733,agent.py / 0%,java / 611979264%
05-12 06:55:47,0.168,0.068,99.751,0.013,0.0,0.001,2242588672.0,190869504.0,225157120.0,14014562304.0,8922.033,10051.650,0.0,1.733,agent.py / 0%,java / 612360192%
05-12 06:56:47,0.152,0.067,99.769,0.011,0.0,0.0,2240073728.0,190869504.0,225161216.0,14017073152.0,9284.900,10336.483,0.0,1.300,agent.py / 0%,java / 612401152%
05-12 06:57:47,0.165,0.073,99.748,0.013,0.0,0.001,2240962560.0,190873600.0,225161216.0,14016180224.0,9382.817,10421.100,0.0,1.850,agent.py / 0%,java / 612040704%
05-12 06:58:47,0.160,0.069,99.761,0.010,0.0,0.0,2239811584.0,190873600.0,225161216.0,14017331200.0,9303.583,10368.867,0.0,1.617,agent.py / 0%,java / 612118528%
05-12 06:59:47,0.205,0.072,99.714,0.009,0.0,0.0,2241134592.0,190873600.0,225165312.0,14016004096.0,8899.600,10004.583,0.0,1.617,java / 0%,java / 612048896%
05-12 07:00:47,0.154,0.067,99.761,0.017,0.0,0.001,2240385024.0,190873600.0,225169408.0,14016749568.0,8895.283,10051.083,0.0,1.583,agent.py / 0%,java / 611536896%
05-12 07:01:47,0.167,0.078,99.742,0.013,0.0,0.0,2241593344.0,190881792.0,225173504.0,14015528960.0,9311.900,10335.067,0.0,1.817,agent.py / 0%,java / 611786752%
05-12 07:02:47,0.172,0.066,99.751,0.010,0.0,0.0,2240163840.0,190881792.0,225173504.0,14016958464.0,9338.467,10404.650,0.0,1.600,agent.py / 0%,java / 611602432%
05-12 07:03:47,0.160,0.073,99.751,0.016,0.0,0.0,2239160320.0,190881792.0,225177600.0,14017957888.0,8891.250,10019.983,0.0,1.517,agent.py / 0%,java / 611598336%
05-12 07:04:47,0.154,0.065,99.766,0.015,0.0,0.001,2240892928.0,190881792.0,225181696.0,14016221184.0,8901.283,10037.933,0.0,1.617,agent.py / 0%,java / 611737600%
05-12 07:05:47,0.160,0.074,99.753,0.013,0.0,0.0,2241089536.0,190881792.0,225181696.0,14016024576.0,8940.717,9989.217,0.0,1.650,agent.py / 0%,java / 611606528%
05-12 07:06:47,0.154,0.064,99.769,0.013,0.0,0.0,2240356352.0,190881792.0,225185792.0,14016753664.0,8926.700,10066.267,0.0,1.617,agent.py / 0%,java / 612327424%
05-12 07:07:47,0.167,0.070,99.754,0.009,0.0,0.0,2242482176.0,190881792.0,225189888.0,14014623744.0,8851.967,9981.633,0.0,1.433,agent.py / 0%,java / 611864576%
05-12 07:08:47,0.156,0.065,99.764,0.015,0.0,0.001,2240331776.0,190881792.0,225189888.0,14016774144.0,8919.567,10049.967,0.0,1.600,agent.py / 0%,java / 611966976%
05-12 07:09:47,0.169,0.070,99.744,0.017,0.0,0.0,2241818624.0,190881792.0,225189888.0,14015287296.0,8900.750,10054.250,0.0,1.667,agent.py / 0%,java / 611913728%
